municipality,harvested_area,production,value,year,state
tuxpan,312.00,"2,485.60","23,327.10",2011.0,michoacan
tzintzuntzan,12.00,96.48,"1,595.30",2011.0,michoacan
uruapan,"12,459.00","124,590.00","1,768,350.05",2011.0,michoacan
zinapecuaro,53.00,271.00,"4,065.00",2011.0,michoacan
ziracuaretiro,"2,344.00","23,440.00","340,099.95",2011.0,michoacan
zitacuaro,"1,043.00","10,746.00","134,949.89",2011.0,michoacan
cuernavaca,0.00,0.00,0.00,2011.0,morelos
huitzilac,0.40,3.52,35.59,2011.0,morelos
ocuituco,"1,455.00","12,504.50","136,667.36",2011.0,morelos
tepoztlan,34.00,334.56,"2,896.21",2011.0,morelos
tetela del volcan,753.00,"7,071.60","74,428.87",2011.0,morelos
tlalnepantla,224.00,"2,531.20","25,312.00",2011.0,morelos
tlayacapan,1.00,7.00,55.31,2011.0,morelos
totolapan,70.00,682.30,"6,865.25",2011.0,morelos
yautepec,9.00,75.60,614.02,2011.0,morelos
yecapixtla,481.00,"4,446.95","47,541.46",2011.0,morelos
ahuacatlan,4.50,81.00,904.50,2011.0,nayarit
amatlan de canas,2.00,12.00,24.00,2011.0,nayarit
bahia de banderas,1.00,8.22,29.59,2011.0,nayarit
compostela,13.50,98.01,473.81,2011.0,nayarit
ixtlan del rio,10.75,174.75,"1,983.50",2011.0,nayarit
jala,4.50,35.10,253.20,2011.0,nayarit
ruiz,6.00,36.00,252.00,2011.0,nayarit
san blas,527.00,"5,818.60","16,140.74",2011.0,nayarit
san pedro lagunillas,0.00,0.00,0.00,2011.0,nayarit
santa maria del oro,44.96,620.24,"6,097.40",2011.0,nayarit
tepic,"1,136.00","8,437.30","54,361.67",2011.0,nayarit
xalisco,"1,166.40","10,368.00","71,075.54",2011.0,nayarit
acatic,0.00,0.00,0.00,2012.0,jalisco
acatlan de juarez,1.50,9.00,144.00,2012.0,jalisco
amacueca,2.00,9.40,79.90,2012.0,jalisco
ameca,36.00,180.00,"2,317.50",2012.0,jalisco
arandas,0.00,0.00,0.00,2012.0,jalisco
atengo,0.00,0.00,0.00,2012.0,jalisco
atenguillo,2.00,11.00,154.00,2012.0,jalisco
atotonilco el alto,39.00,723.00,"7,756.25",2012.0,jalisco
atoyac,2.00,9.00,65.70,2012.0,jalisco
autlan de navarro,61.00,"1,436.55","21,612.61",2012.0,jalisco
ayotlan,63.00,486.00,"5,466.50",2012.0,jalisco
ayutla,25.00,136.20,"2,451.60",2012.0,jalisco
cabo corrientes,10.00,33.00,369.60,2012.0,jalisco
chiquilistlan,65.00,299.00,"1,883.70",2012.0,jalisco
concepcion de buenos aires,780.00,"5,284.50","88,210.05",2012.0,jalisco
cuautitlan de garcia barragan,32.00,112.00,"1,512.00",2012.0,jalisco
degollado,38.00,375.00,"4,355.00",2012.0,jalisco
el arenal,24.00,168.00,"2,184.00",2012.0,jalisco
el limon,4.00,24.00,240.00,2012.0,jalisco
gomez farias,302.00,"2,847.00","33,700.50",2012.0,jalisco
ixtlahuacan del rio,40.00,400.00,"5,671.00",2012.0,jalisco
jesus maria,0.00,0.00,0.00,2012.0,jalisco
jocotepec,0.00,0.00,0.00,2012.0,jalisco
la barca,0.00,0.00,0.00,2012.0,jalisco
la manzanilla de la paz,100.00,565.00,"10,368.50",2012.0,jalisco
magdalena,9.00,63.00,850.50,2012.0,jalisco
mascota,26.00,169.00,"2,450.50",2012.0,jalisco
mazamitla,201.00,"1,362.20","19,892.42",2012.0,jalisco
mixtlan,0.00,0.00,0.00,2012.0,jalisco
ocotlan,0.00,0.00,0.00,2012.0,jalisco
pihuamo,0.00,0.00,0.00,2012.0,jalisco
puerto vallarta,16.00,64.00,760.00,2012.0,jalisco
quitupan,361.50,"2,483.63","46,780.80",2012.0,jalisco
san cristobal de la barranca,4.00,40.00,640.00,2012.0,jalisco
san gabriel,112.75,154.00,"1,451.55",2012.0,jalisco
san pedro tlaquepaque,8.00,88.00,"1,276.00",2012.0,jalisco
san sebastian del oeste,5.00,30.00,465.00,2012.0,jalisco
santa maria de los angeles,10.00,60.00,720.00,2012.0,jalisco
sayula,12.00,120.00,"1,440.00",2012.0,jalisco
tala,12.00,76.50,"1,224.00",2012.0,jalisco
talpa de allende,15.00,112.50,"1,856.25",2012.0,jalisco
tamazula de gordiano,185.00,905.50,"10,836.75",2012.0,jalisco
tapalpa,110.00,528.00,"3,263.04",2012.0,jalisco
tecalitlan,0.00,0.00,0.00,2012.0,jalisco
techaluta de montenegro,3.00,18.30,164.70,2012.0,jalisco
tecolotlan,12.00,48.00,912.00,2012.0,jalisco
teocuitatlan de corona,0.00,0.00,0.00,2012.0,jalisco
tepatitlan de morelos,0.00,0.00,0.00,2012.0,jalisco
tequila,8.00,56.00,739.20,2012.0,jalisco
teuchitlan,3.50,16.70,263.45,2012.0,jalisco
tizapan el alto,0.00,0.00,0.00,2012.0,jalisco
tlajomulco de zuniga,50.25,326.50,"4,668.05",2012.0,jalisco
toliman,2.50,22.50,216.00,2012.0,jalisco
tonila,76.00,608.00,"4,636.00",2012.0,jalisco
tototlan,15.00,247.00,"2,607.50",2012.0,jalisco
tuxcueca,3.00,49.00,498.50,2012.0,jalisco
tuxpan,205.00,"1,493.50","12,765.44",2012.0,jalisco
valle de juarez,22.60,158.78,"2,830.78",2012.0,jalisco
villa purificacion,30.00,105.00,"1,120.00",2012.0,jalisco
zacoalco de torres,0.00,0.00,0.00,2012.0,jalisco
zapopan,25.00,250.00,"3,814.00",2012.0,jalisco
zapotiltic,67.00,536.00,"5,221.23",2012.0,jalisco
zapotitlan de vadillo,150.00,"1,875.00","13,125.00",2012.0,jalisco
zapotlan el grande,"2,340.00","15,624.00","157,968.00",2012.0,jalisco
almoloya de alquisiras,122.00,915.00,"8,390.00",2012.0,mexico
amanalco,15.70,141.30,"1,554.30",2012.0,mexico
amatepec,35.50,241.61,"3,427.60",2012.0,mexico
atlautla,96.00,880.75,"10,676.66",2012.0,mexico
coatepec harinas,635.00,"10,072.50","99,305.01",2012.0,mexico
donato guerra,200.00,"1,960.00","22,220.00",2012.0,mexico
ecatzingo,20.00,169.75,"2,213.22",2012.0,mexico
ixtapan de la sal,18.00,198.00,"1,840.80",2012.0,mexico
ixtapan del oro,77.00,707.00,"7,532.00",2012.0,mexico
joquicingo,70.00,"1,540.00","12,320.00",2012.0,mexico
luvianos,35.00,273.00,"2,709.00",2012.0,mexico
malinalco,92.00,707.00,"6,697.50",2012.0,mexico
ocuilan,98.00,944.00,"8,879.16",2012.0,mexico
otzoloapan,2.00,23.00,207.00,2012.0,mexico
ozumba,30.00,248.00,"3,218.03",2012.0,mexico
san simon de guerrero,13.00,90.10,915.85,2012.0,mexico
santo tomas,3.50,31.50,378.00,2012.0,mexico
sultepec,40.00,200.00,"1,850.00",2012.0,mexico
tejupilco,30.00,210.00,"2,352.00",2012.0,mexico
temascaltepec,302.00,"2,210.84","25,066.40",2012.0,mexico
tenancingo,310.00,"2,717.20","25,166.84",2012.0,mexico
tepetlixpa,40.00,399.00,"4,658.16",2012.0,mexico
texcaltitlan,0.00,0.00,0.00,2012.0,mexico
valle de bravo,85.00,768.00,"8,312.00",2012.0,mexico
villa guerrero,196.00,"2,388.00","22,988.19",2012.0,mexico
villa de allende,45.00,700.00,"8,582.00",2012.0,mexico
zacazonapan,0.00,0.00,0.00,2012.0,mexico
zacualpan,4.00,30.00,270.00,2012.0,mexico
acuitzio,691.50,"3,803.25","36,118.50",2012.0,michoacan
aguililla,20.00,173.00,"1,928.95",2012.0,michoacan
apatzingan,418.82,"2,031.28","22,900.69",2012.0,michoacan
ario,"11,408.00","124,984.39","1,644,687.30",2012.0,michoacan
charapan,0.00,0.00,0.00,2012.0,michoacan
charo,5.00,25.00,230.00,2012.0,michoacan
chilchota,107.07,910.09,"11,899.37",2012.0,michoacan
copandaro,2.00,11.00,91.30,2012.0,michoacan
