municipality,harvested_area,production,value,year,state
almoloya de alquisiras,490.00,"7,358.00","107,287.75",2016.0,mexico
amanalco,20.50,268.55,"3,544.86",2016.0,mexico
amatepec,141.80,646.80,"8,034.60",2016.0,mexico
atlautla,136.00,"1,483.82","14,040.99",2016.0,mexico
coatepec harinas,"2,046.00","35,967.40","519,088.61",2016.0,mexico
donato guerra,"1,128.36","13,921.69","190,253.16",2016.0,mexico
ecatzingo,34.00,316.33,"2,768.73",2016.0,mexico
ixtapan de la sal,36.00,577.80,"7,253.26",2016.0,mexico
ixtapan del oro,134.00,"1,419.20","19,183.92",2016.0,mexico
joquicingo,135.00,"1,801.58","19,592.18",2016.0,mexico
luvianos,95.00,950.00,"12,350.00",2016.0,mexico
malinalco,180.00,"2,671.40","36,158.71",2016.0,mexico
ocuilan,175.00,"2,126.88","26,806.56",2016.0,mexico
otzoloapan,6.00,63.60,969.90,2016.0,mexico
ozumba,50.00,523.39,"4,764.07",2016.0,mexico
san simon de guerrero,103.00,873.40,"12,070.00",2016.0,mexico
santo tomas,7.00,73.50,"1,323.00",2016.0,mexico
sultepec,180.00,"3,240.00","40,647.61",2016.0,mexico
tejupilco,54.75,438.00,"5,518.80",2016.0,mexico
temascaltepec,"1,497.00","12,311.70","162,402.96",2016.0,mexico
tenancingo,796.00,"10,151.60","145,756.56",2016.0,mexico
tepetlixpa,36.00,423.92,"3,904.10",2016.0,mexico
texcaltitlan,11.00,176.00,"2,395.48",2016.0,mexico
valle de bravo,255.00,"2,966.50","45,079.50",2016.0,mexico
villa guerrero,233.00,"2,752.80","38,655.53",2016.0,mexico
villa de allende,410.85,"5,455.58","85,506.48",2016.0,mexico
zacazonapan,2.00,22.60,406.80,2016.0,mexico
zacualpan,4.00,37.04,388.92,2016.0,mexico
acuitzio,"1,208.85","11,012.00","184,828.94",2016.0,michoacan
aguililla,90.00,"1,080.00","13,605.84",2016.0,michoacan
apatzingan,400.82,"4,076.34","53,106.56",2016.0,michoacan
ario,"12,198.00","143,841.54","2,339,700.88",2016.0,michoacan
charapan,932.00,"6,524.00","114,497.05",2016.0,michoacan
charo,55.00,362.50,"6,362.75",2016.0,michoacan
chilchota,702.00,"5,756.40","93,522.45",2016.0,michoacan
coalcoman de vazquez pallares,880.00,"10,824.00","148,191.38",2016.0,michoacan
copandaro,2.00,13.80,246.40,2016.0,michoacan
cotija,"1,937.00","20,462.98","359,643.31",2016.0,michoacan
erongaricuaro,447.00,"5,685.84","95,173.29",2016.0,michoacan
hidalgo,45.00,360.00,"3,720.24",2016.0,michoacan
huiramba,87.00,889.14,"15,019.08",2016.0,michoacan
irimbo,99.00,752.40,"7,343.83",2016.0,michoacan
jiquilpan,65.00,588.25,"7,362.88",2016.0,michoacan
jungapeo,23.50,206.75,"2,001.89",2016.0,michoacan
juarez,40.00,388.00,"5,042.49",2016.0,michoacan
los reyes,"5,467.00","61,929.40","1,051,015.38",2016.0,michoacan
madero,"1,245.00","10,335.00","171,276.26",2016.0,michoacan
maravatio,9.00,61.20,747.30,2016.0,michoacan
morelia,640.00,"7,592.00","127,175.15",2016.0,michoacan
nuevo parangaricutiro,"6,565.00","67,821.50","1,148,720.64",2016.0,michoacan
ocampo,69.50,566.55,"7,227.96",2016.0,michoacan
periban,"12,955.00","149,412.60","2,586,243.88",2016.0,michoacan
purepero,448.74,"3,724.54","61,032.29",2016.0,michoacan
patzcuaro,219.00,"2,124.30","37,473.61",2016.0,michoacan
querendaro,20.00,188.00,"3,290.00",2016.0,michoacan
quiroga,69.00,678.27,"11,984.01",2016.0,michoacan
salvador escalante,"13,465.00","156,461.43","2,611,689.30",2016.0,michoacan
susupuato,200.00,"1,880.00","20,889.43",2016.0,michoacan
tacambaro,"14,299.00","168,161.30","2,736,587.84",2016.0,michoacan
tancitaro,"22,417.00","224,142.40","4,346,781.58",2016.0,michoacan
tangamandapio,"2,247.00","25,142.70","410,065.65",2016.0,michoacan
tangancicuaro,"1,829.88","17,756.21","297,683.01",2016.0,michoacan
taretan,"1,205.00","12,070.50","227,790.45",2016.0,michoacan
tarimbaro,20.00,140.00,"2,284.00",2016.0,michoacan
tingambato,"3,500.00","34,741.70","622,307.57",2016.0,michoacan
tinguindin,"4,927.70","57,323.16","944,442.16",2016.0,michoacan
tlazazalca,125.65,"1,019.00","16,503.87",2016.0,michoacan
tocumbo,891.00,"9,778.60","165,985.32",2016.0,michoacan
turicato,"3,585.00","38,185.50","642,115.03",2016.0,michoacan
tuxpan,334.00,"2,781.90","26,533.04",2016.0,michoacan
tzintzuntzan,20.00,184.40,"3,226.04",2016.0,michoacan
uruapan,"15,096.00","154,496.00","2,664,891.10",2016.0,michoacan
zinapecuaro,50.00,410.00,"7,204.00",2016.0,michoacan
ziracuaretiro,"4,325.00","41,562.00","707,108.49",2016.0,michoacan
zitacuaro,"1,326.00","12,918.85","137,516.13",2016.0,michoacan
cuernavaca,145.00,"1,247.00","11,793.71",2016.0,morelos
huitzilac,2.40,19.68,173.18,2016.0,morelos
ocuituco,"1,485.00","12,653.00","117,439.04",2016.0,morelos
tepoztlan,50.00,415.00,"4,115.09",2016.0,morelos
tetela del volcan,"1,370.00","11,423.00","109,797.43",2016.0,morelos
tlalnepantla,243.00,"1,992.60","18,581.00",2016.0,morelos
tlayacapan,72.00,604.80,"7,093.93",2016.0,morelos
totolapan,105.00,840.00,"7,979.05",2016.0,morelos
yautepec,11.00,99.40,"1,045.49",2016.0,morelos
yecapixtla,410.00,"3,100.50","28,552.17",2016.0,morelos
ahuacatlan,7.00,55.30,614.11,2016.0,nayarit
amatlan de canas,5.00,25.50,245.33,2016.0,nayarit
bahia de banderas,2.00,12.40,109.42,2016.0,nayarit
compostela,12.50,69.00,577.82,2016.0,nayarit
ixtlan del rio,13.00,80.80,931.80,2016.0,nayarit
jala,56.50,423.50,"4,906.09",2016.0,nayarit
ruiz,6.00,31.32,240.76,2016.0,nayarit
san blas,418.67,"4,909.51","36,816.40",2016.0,nayarit
san pedro lagunillas,213.00,"1,150.20","8,854.24",2016.0,nayarit
santa maria del oro,51.00,396.30,"4,195.29",2016.0,nayarit
tepic,"1,909.95","13,794.94","119,789.46",2016.0,nayarit
xalisco,"1,804.00","12,291.40","105,202.26",2016.0,nayarit
acatic,105.40,"1,222.64","27,345.48",2017.0,jalisco
acatlan de juarez,25.00,312.50,"4,299.83",2017.0,jalisco
ahualulco de mercado,62.00,660.30,"9,930.83",2017.0,jalisco
amacueca,186.00,"2,240.37","42,346.26",2017.0,jalisco
ameca,110.00,"1,493.80","32,462.43",2017.0,jalisco
arandas,166.00,"1,676.60","36,113.96",2017.0,jalisco
atengo,120.00,"1,102.00","23,800.00",2017.0,jalisco
atenguillo,11.00,123.42,"3,374.78",2017.0,jalisco
atotonilco el alto,241.00,"3,892.15","71,647.28",2017.0,jalisco
atoyac,322.98,"3,905.47","72,875.21",2017.0,jalisco
autlan de navarro,73.00,313.90,"6,379.34",2017.0,jalisco
ayotlan,101.00,"1,476.62","25,645.76",2017.0,jalisco
ayutla,26.00,254.50,"4,729.73",2017.0,jalisco
cabo corrientes,13.00,101.92,"2,188.06",2017.0,jalisco
chiquilistlan,166.30,"1,912.45","35,172.46",2017.0,jalisco
concepcion de buenos aires,"1,099.08","11,168.51","213,670.56",2017.0,jalisco
cuautitlan de garcia barragan,107.00,812.13,"17,353.16",2017.0,jalisco
degollado,40.00,580.80,"9,897.98",2017.0,jalisco
el arenal,55.00,517.00,"9,080.70",2017.0,jalisco
el limon,1.50,6.00,126.00,2017.0,jalisco
etzatlan,32.00,339.20,"5,010.56",2017.0,jalisco
gomez farias,780.10,"8,023.27","105,574.34",2017.0,jalisco
ixtlahuacan del rio,41.00,519.88,"12,753.45",2017.0,jalisco
jesus maria,90.00,"1,089.00","23,696.28",2017.0,jalisco
jocotepec,30.00,460.80,"9,217.57",2017.0,jalisco
la barca,35.00,462.70,"7,793.01",2017.0,jalisco
la manzanilla de la paz,218.55,"2,761.13","54,093.56",2017.0,jalisco
magdalena,9.00,98.01,"2,086.37",2017.0,jalisco
mascota,68.45,837.83,"17,632.87",2017.0,jalisco
mazamitla,374.88,"3,929.90","76,679.86",2017.0,jalisco
mixtlan,4.00,46.00,"1,261.25",2017.0,jalisco
ocotlan,1.00,14.72,325.34,2017.0,jalisco
pihuamo,45.00,548.50,"10,009.75",2017.0,jalisco
puerto vallarta,15.00,120.30,"2,639.82",2017.0,jalisco
quitupan,438.65,"4,726.84","96,480.80",2017.0,jalisco
san cristobal de la barranca,4.00,48.60,860.96,2017.0,jalisco
san gabriel,948.89,"8,901.86","115,711.98",2017.0,jalisco
san juanito de escobedo,19.00,207.10,"3,144.67",2017.0,jalisco
san pedro tlaquepaque,8.00,113.60,"2,474.40",2017.0,jalisco
san sebastian del oeste,11.00,112.31,"2,946.32",2017.0,jalisco
santa maria de los angeles,9.00,81.45,"1,003.57",2017.0,jalisco
sayula,780.71,"8,411.16","108,433.73",2017.0,jalisco
tala,40.00,364.00,"7,253.38",2017.0,jalisco
talpa de allende,22.00,229.90,"5,946.18",2017.0,jalisco
tamazula de gordiano,554.00,"7,600.57","155,606.93",2017.0,jalisco
tapalpa,680.00,"7,502.00","136,560.93",2017.0,jalisco
tecalitlan,186.00,"2,507.08","46,552.42",2017.0,jalisco
techaluta de montenegro,75.10,802.07,"15,385.30",2017.0,jalisco
tecolotlan,60.00,685.00,"13,744.00",2017.0,jalisco
tenamaxtlan,6.00,38.89,585.81,2017.0,jalisco
teocuitatlan de corona,50.55,601.24,"10,402.40",2017.0,jalisco
tepatitlan de morelos,170.00,"2,176.00","48,334.92",2017.0,jalisco
tequila,21.00,236.88,"4,967.19",2017.0,jalisco
teuchitlan,2.00,17.40,350.58,2017.0,jalisco
tizapan el alto,20.00,252.20,"5,135.50",2017.0,jalisco
tlajomulco de zuniga,25.50,316.93,"4,890.57",2017.0,jalisco
toliman,52.50,672.53,"14,553.77",2017.0,jalisco
tonila,576.00,"8,124.27","112,658.81",2017.0,jalisco
tototlan,25.00,367.50,"8,678.31",2017.0,jalisco
tuxcueca,44.00,681.12,"13,247.64",2017.0,jalisco
tuxpan,691.00,"9,819.80","135,236.71",2017.0,jalisco
valle de juarez,41.80,464.84,"9,559.30",2017.0,jalisco
villa purificacion,110.00,708.40,"14,996.35",2017.0,jalisco
zacoalco de torres,34.30,408.07,"8,169.35",2017.0,jalisco
zapopan,25.00,350.00,"6,667.50",2017.0,jalisco
zapotiltic,707.85,"10,164.73","144,033.82",2017.0,jalisco
zapotitlan de vadillo,275.00,"2,663.93","58,656.46",2017.0,jalisco
zapotlanejo,20.00,235.60,"4,557.19",2017.0,jalisco
zapotlan el grande,"2,989.90","33,938.13","453,958.02",2017.0,jalisco
almoloya de alquisiras,524.00,"7,816.96","121,536.42",2017.0,mexico
amanalco,24.50,325.00,"5,094.05",2017.0,mexico
amatepec,141.86,709.30,"12,639.48",2017.0,mexico
atlautla,137.00,"1,499.95","30,246.80",2017.0,mexico
coatepec harinas,"2,060.00","26,917.40","413,173.59",2017.0,mexico
donato guerra,"1,128.36","14,085.20","274,427.69",2017.0,mexico
ecatzingo,34.00,323.58,"5,558.47",2017.0,mexico
ixtapan de la sal,37.00,645.66,"9,747.61",2017.0,mexico
ixtapan del oro,134.00,"1,387.00","20,445.84",2017.0,mexico
joquicingo,135.10,"1,904.91","30,250.31",2017.0,mexico
luvianos,95.00,722.00,"13,718.00",2017.0,mexico
malinalco,224.00,"3,524.82","50,611.57",2017.0,mexico
ocuilan,191.00,"2,372.80","34,093.29",2017.0,mexico
otzoloapan,6.00,64.00,"1,014.40",2017.0,mexico
ozumba,50.00,524.00,"11,392.85",2017.0,mexico
san simon de guerrero,263.00,"2,201.20","30,330.48",2017.0,mexico
santo tomas,7.00,81.00,"1,782.00",2017.0,mexico
sultepec,220.00,"3,859.90","54,189.25",2017.0,mexico
tejupilco,54.75,446.21,"8,924.20",2017.0,mexico
temascaltepec,"1,489.00","12,457.83","215,992.07",2017.0,mexico
tenancingo,859.00,"14,757.88","240,664.54",2017.0,mexico
tepetlixpa,36.00,426.96,"9,191.28",2017.0,mexico
texcaltitlan,11.00,188.10,"2,630.00",2017.0,mexico
valle de bravo,255.00,"3,030.00","54,530.50",2017.0,mexico
villa guerrero,233.00,"2,777.24","51,575.53",2017.0,mexico
villa de allende,410.85,"5,250.00","86,625.00",2017.0,mexico
zacazonapan,2.00,23.20,475.60,2017.0,mexico
zacualpan,14.00,250.46,"2,930.38",2017.0,mexico
acuitzio,"1,356.00","13,328.20","260,007.08",2017.0,michoacan
aguililla,60.00,750.00,"12,282.75",2017.0,michoacan
apatzingan,416.82,"4,322.42","70,952.52",2017.0,michoacan
ario,"12,971.00","167,098.50","3,442,262.59",2017.0,michoacan
charapan,"1,200.00","10,200.00","192,780.00",2017.0,michoacan
charo,80.00,548.00,"10,690.80",2017.0,michoacan
chilchota,600.00,"5,400.00","115,338.32",2017.0,michoacan
coalcoman de vazquez pallares,850.00,"10,888.50","193,793.52",2017.0,michoacan
copandaro,2.00,15.00,270.00,2017.0,michoacan
cotija,"2,293.00","24,241.40","508,120.58",2017.0,michoacan
erongaricuaro,514.00,"6,769.38","140,126.17",2017.0,michoacan
hidalgo,45.00,373.50,"4,901.81",2017.0,michoacan
huiramba,127.00,"1,355.09","27,914.85",2017.0,michoacan
irimbo,139.00,"1,090.30","14,127.18",2017.0,michoacan
jiquilpan,65.00,910.00,"12,740.00",2017.0,michoacan
jungapeo,23.50,213.10,"3,030.63",2017.0,michoacan
juarez,40.00,424.12,"7,000.10",2017.0,michoacan
los reyes,"5,604.00","63,622.80","1,294,692.32",2017.0,michoacan
madero,"1,295.00","10,107.50","196,781.38",2017.0,michoacan
maravatio,9.00,65.82,837.93,2017.0,michoacan
morelia,"1,032.00","11,793.80","228,275.94",2017.0,michoacan
nuevo parangaricutiro,"6,950.00","69,995.17","1,516,578.49",2017.0,michoacan
ocampo,76.00,677.24,"9,609.21",2017.0,michoacan
periban,"12,383.00","143,053.80","3,007,505.54",2017.0,michoacan
purepero,511.74,"4,349.79","92,532.11",2017.0,michoacan
patzcuaro,238.00,"2,420.46","50,708.64",2017.0,michoacan
querendaro,15.00,105.00,"2,016.00",2017.0,michoacan
quiroga,130.00,"1,357.20","28,229.76",2017.0,michoacan
salvador escalante,"13,912.00","173,912.05","3,609,075.32",2017.0,michoacan
susupuato,200.00,"2,060.16","29,894.98",2017.0,michoacan
tacambaro,"14,809.00","173,595.00","3,403,612.11",2017.0,michoacan
tancitaro,"22,778.00","218,973.70","5,036,264.20",2017.0,michoacan
tangamandapio,"2,307.00","25,638.45","551,549.89",2017.0,michoacan
tangancicuaro,"1,802.88","18,043.73","390,479.43",2017.0,michoacan
taretan,"1,100.00","13,029.00","286,631.70",2017.0,michoacan
tarimbaro,20.00,136.00,"2,652.00",2017.0,michoacan
tingambato,"3,700.00","42,164.70","920,069.00",2017.0,michoacan
tinguindin,"5,068.70","59,703.57","1,179,761.89",2017.0,michoacan
tlazazalca,177.00,"1,584.50","33,649.85",2017.0,michoacan
tocumbo,891.00,"9,920.20","202,712.01",2017.0,michoacan
turicato,"3,935.00","46,486.50","948,080.05",2017.0,michoacan
tuxpan,337.00,"2,855.40","37,979.56",2017.0,michoacan
tzintzuntzan,23.00,223.79,"4,565.32",2017.0,michoacan
uruapan,"15,101.00","153,505.44","3,460,037.86",2017.0,michoacan
zinapecuaro,60.00,355.00,"7,013.00",2017.0,michoacan
ziracuaretiro,"4,450.00","44,123.00","896,361.80",2017.0,michoacan
zitacuaro,"1,328.50","13,367.90","176,439.59",2017.0,michoacan
cuernavaca,165.00,"1,452.00","11,616.00",2017.0,morelos
huitzilac,4.40,38.28,361.81,2017.0,morelos
ocuituco,"1,570.00","13,497.20","215,242.76",2017.0,morelos
tepoztlan,50.00,490.00,"5,139.25",2017.0,morelos
tetela del volcan,"1,526.00","12,683.17","194,642.45",2017.0,morelos
tlalnepantla,248.00,"2,028.64","18,024.65",2017.0,morelos
tlayacapan,77.00,616.00,"5,670.53",2017.0,morelos
totolapan,108.00,788.40,"7,723.44",2017.0,morelos
yautepec,11.00,90.80,"1,096.62",2017.0,morelos
yecapixtla,406.00,"3,161.08","40,971.27",2017.0,morelos
ahuacatlan,7.00,52.50,718.24,2017.0,nayarit
amatlan de canas,5.00,37.30,392.23,2017.0,nayarit
bahia de banderas,2.00,14.00,84.00,2017.0,nayarit
compostela,12.50,33.35,366.85,2017.0,nayarit
ixtlan del rio,13.00,119.60,"1,535.26",2017.0,nayarit
jala,56.50,518.10,"6,687.33",2017.0,nayarit
ruiz,6.00,31.38,316.94,2017.0,nayarit
san blas,800.00,"10,072.72","71,058.95",2017.0,nayarit
san pedro lagunillas,213.00,426.00,"5,112.00",2017.0,nayarit
santa maria del oro,56.00,440.65,"5,776.29",2017.0,nayarit
tepic,"2,037.22","19,650.18","251,798.20",2017.0,nayarit
xalisco,"1,863.80","17,850.01","232,150.36",2017.0,nayarit
acatic,105.40,"1,435.27","29,159.39",2018.0,jalisco
acatlan de juarez,29.00,426.30,"6,301.91",2018.0,jalisco
ahualulco de mercado,65.00,702.25,"10,532.13",2018.0,jalisco
amacueca,186.00,"2,090.64","37,303.35",2018.0,jalisco
ameca,110.00,"1,518.00","32,106.02",2018.0,jalisco
arandas,166.00,"2,054.40","40,000.69",2018.0,jalisco
atengo,120.00,"1,310.04","19,187.88",2018.0,jalisco
atenguillo,20.00,235.06,"4,922.13",2018.0,jalisco
atotonilco el alto,255.00,"4,559.40","81,658.31",2018.0,jalisco
atoyac,322.98,"3,726.91","65,035.36",2018.0,jalisco
autlan de navarro,74.00,651.20,"12,033.52",2018.0,jalisco
ayotlan,101.00,"1,577.62","26,500.43",2018.0,jalisco
ayutla,26.00,270.00,"5,437.80",2018.0,jalisco
cabo corrientes,13.00,103.54,"2,146.05",2018.0,jalisco
chiquilistlan,166.30,"1,829.30","31,317.01",2018.0,jalisco
concepcion de buenos aires,"1,289.08","12,563.67","245,992.90",2018.0,jalisco
cuautitlan de garcia barragan,107.00,868.84,"19,548.88",2018.0,jalisco
degollado,78.00,"1,404.00","22,371.69",2018.0,jalisco
el arenal,55.00,520.00,"10,523.82",2018.0,jalisco
el limon,1.50,4.80,104.64,2018.0,jalisco
etzatlan,23.00,247.80,"3,719.46",2018.0,jalisco
gomez farias,"1,461.33","13,569.95","172,528.59",2018.0,jalisco
ixtlahuacan del rio,41.00,524.80,"9,929.16",2018.0,jalisco
jesus maria,90.00,"1,140.00","22,140.49",2018.0,jalisco
jocotepec,30.00,465.00,"7,538.75",2018.0,jalisco
la barca,35.00,432.25,"9,355.99",2018.0,jalisco
la manzanilla de la paz,228.55,"2,248.39","42,064.37",2018.0,jalisco
magdalena,9.00,100.35,"2,172.16",2018.0,jalisco
mascota,103.45,"1,365.95","29,344.69",2018.0,jalisco
mazamitla,285.78,"2,413.44","45,772.53",2018.0,jalisco
mixtlan,14.00,169.40,"3,606.51",2018.0,jalisco
ocotlan,1.00,14.65,247.41,2018.0,jalisco
pihuamo,45.00,552.50,"9,465.44",2018.0,jalisco
puerto vallarta,15.00,121.49,"2,498.95",2018.0,jalisco
quitupan,443.55,"4,181.33","79,553.46",2018.0,jalisco
san cristobal de la barranca,4.00,48.80,689.71,2018.0,jalisco
san gabriel,"2,081.89","18,528.82","232,409.21",2018.0,jalisco
san juanito de escobedo,19.00,205.10,"3,042.25",2018.0,jalisco
san pedro tlaquepaque,8.00,132.00,"3,126.17",2018.0,jalisco
san sebastian del oeste,11.00,114.30,"2,495.93",2018.0,jalisco
santa maria de los angeles,7.00,66.50,914.65,2018.0,jalisco
sayula,907.50,"8,621.25","117,144.68",2018.0,jalisco
tala,50.50,460.00,"9,221.39",2018.0,jalisco
talpa de allende,22.00,233.31,"5,075.65",2018.0,jalisco
tamazula de gordiano,554.00,"7,960.98","126,056.94",2018.0,jalisco
tapalpa,682.00,"7,556.56","130,758.64",2018.0,jalisco
tecalitlan,186.00,"2,455.00","43,232.89",2018.0,jalisco
techaluta de montenegro,75.10,699.67,"11,914.64",2018.0,jalisco
tecolotlan,60.00,745.31,"9,571.44",2018.0,jalisco
tenamaxtlan,7.40,58.83,"1,028.64",2018.0,jalisco
teocuitatlan de corona,50.55,541.54,"9,808.64",2018.0,jalisco
tepatitlan de morelos,170.00,"2,240.20","46,607.72",2018.0,jalisco
tequila,21.00,246.15,"5,444.08",2018.0,jalisco
teuchitlan,2.00,17.80,358.16,2018.0,jalisco
tizapan el alto,20.00,260.00,"4,363.81",2018.0,jalisco
tlajomulco de zuniga,25.50,358.50,"5,242.87",2018.0,jalisco
toliman,102.50,"1,040.56","14,433.50",2018.0,jalisco
tonila,696.00,"9,396.00","129,398.96",2018.0,jalisco
tototlan,25.00,383.00,"6,886.10",2018.0,jalisco
tuxcueca,44.00,682.00,"10,998.83",2018.0,jalisco
tuxpan,"1,027.00","13,597.48","181,262.43",2018.0,jalisco
valle de juarez,51.00,588.10,"10,943.75",2018.0,jalisco
villa purificacion,110.00,717.20,"16,140.01",2018.0,jalisco
zacoalco de torres,34.30,348.12,"6,148.52",2018.0,jalisco
zapopan,25.00,390.25,"5,495.37",2018.0,jalisco
zapotiltic,971.85,"13,732.24","192,445.81",2018.0,jalisco
zapotitlan de vadillo,275.00,"3,016.78","39,930.43",2018.0,jalisco
zapotlanejo,23.00,299.00,"5,628.21",2018.0,jalisco
zapotlan el grande,"4,001.90","38,233.47","495,431.24",2018.0,jalisco
almoloya de alquisiras,517.00,"5,194.20","80,049.94",2018.0,mexico
amanalco,26.00,336.00,"4,295.42",2018.0,mexico
amatepec,141.86,638.50,"11,403.46",2018.0,mexico
atlautla,139.00,"1,510.28","34,005.91",2018.0,mexico
coatepec harinas,"1,686.00","22,000.80","339,202.93",2018.0,mexico
donato guerra,"1,180.00","14,572.96","333,727.25",2018.0,mexico
ecatzingo,34.00,322.96,"6,821.83",2018.0,mexico
ixtapan de la sal,36.00,355.60,"5,487.68",2018.0,mexico
ixtapan del oro,140.00,"1,490.00","26,048.90",2018.0,mexico
joquicingo,140.00,"1,981.00","22,430.05",2018.0,mexico
luvianos,113.50,947.00,"18,940.00",2018.0,mexico
malinalco,185.00,"1,879.00","28,047.72",2018.0,mexico
ocuilan,175.00,"1,835.00","28,254.44",2018.0,mexico
otzoloapan,6.00,68.00,907.89,2018.0,mexico
ozumba,48.00,483.64,"11,217.69",2018.0,mexico
san simon de guerrero,327.00,"2,543.55","45,173.57",2018.0,mexico
santo tomas,8.00,85.00,854.22,2018.0,mexico
sultepec,180.00,"1,674.00","26,109.80",2018.0,mexico
tejupilco,54.75,448.95,"8,081.10",2018.0,mexico
temascaltepec,"1,526.00","12,955.76","243,226.53",2018.0,mexico
tenancingo,837.00,"9,746.36","149,817.41",2018.0,mexico
tepetlixpa,36.00,400.80,"9,344.44",2018.0,mexico
texcaltitlan,22.00,222.20,"3,253.11",2018.0,mexico
valle de bravo,666.00,"7,299.10","144,534.04",2018.0,mexico
villa guerrero,168.00,"2,100.00","41,449.61",2018.0,mexico
villa de allende,458.00,"6,125.25","93,512.70",2018.0,mexico
zacazonapan,3.00,28.10,549.28,2018.0,mexico
zacualpan,10.00,92.20,"1,459.53",2018.0,mexico
acuitzio,"1,687.00","17,052.80","336,255.66",2018.0,michoacan
aguililla,45.00,552.50,"7,244.39",2018.0,michoacan
apatzingan,592.00,"6,109.44","101,493.87",2018.0,michoacan
ario,"14,233.00","173,511.39","3,576,653.60",2018.0,michoacan
charapan,"1,400.00","12,698.00","236,987.60",2018.0,michoacan
charo,93.00,773.10,"14,348.52",2018.0,michoacan
chilchota,605.00,"5,456.87","110,538.02",2018.0,michoacan
coalcoman de vazquez pallares,523.00,"6,668.25","97,123.46",2018.0,michoacan
copandaro,2.00,18.00,311.80,2018.0,michoacan
cotija,"2,481.00","26,495.00","554,941.11",2018.0,michoacan
erongaricuaro,570.00,"7,962.90","167,984.70",2018.0,michoacan
hidalgo,45.00,377.44,"4,777.26",2018.0,michoacan
huiramba,147.00,"1,607.00","33,058.37",2018.0,michoacan
irimbo,167.00,"1,289.10","17,632.72",2018.0,michoacan
jiquilpan,65.00,720.00,"10,750.00",2018.0,michoacan
jungapeo,23.50,204.45,"2,818.76",2018.0,michoacan
juarez,40.00,427.16,"5,496.18",2018.0,michoacan
los reyes,"5,848.00","66,696.40","1,401,069.62",2018.0,michoacan
madero,"1,310.00","12,474.00","237,587.77",2018.0,michoacan
maravatio,9.00,63.51,913.95,2018.0,michoacan
morelia,"1,074.00","12,973.60","253,905.08",2018.0,michoacan
nuevo parangaricutiro,"7,320.00","78,695.00","1,585,265.74",2018.0,michoacan
ocampo,83.00,652.78,"8,521.50",2018.0,michoacan
periban,"12,343.00","142,975.48","3,090,518.02",2018.0,michoacan
purepero,511.74,"4,354.91","88,315.52",2018.0,michoacan
patzcuaro,328.00,"3,444.00","70,788.91",2018.0,michoacan
querendaro,18.00,180.00,"3,534.94",2018.0,michoacan
quiroga,140.00,"1,470.00","29,111.37",2018.0,michoacan
salvador escalante,"15,245.00","182,929.36","3,907,020.96",2018.0,michoacan
susupuato,200.00,"2,040.00","26,145.37",2018.0,michoacan
tacambaro,"16,455.00","180,463.00","3,367,481.22",2018.0,michoacan
tancitaro,"23,400.00","237,435.00","4,960,280.89",2018.0,michoacan
tangamandapio,"2,307.00","26,029.09","551,669.69",2018.0,michoacan
tangancicuaro,"1,802.88","18,333.24","378,489.51",2018.0,michoacan
taretan,"1,448.00","14,355.50","317,623.90",2018.0,michoacan
tarimbaro,20.00,152.00,"2,897.97",2018.0,michoacan
tingambato,"4,600.00","43,875.00","941,391.72",2018.0,michoacan
tinguindin,"5,160.00","60,264.93","1,250,343.29",2018.0,michoacan
tlazazalca,177.00,"1,586.27","33,254.63",2018.0,michoacan
tocumbo,991.00,"11,177.80","233,176.45",2018.0,michoacan
turicato,"5,315.00","55,046.50","1,055,318.21",2018.0,michoacan
tuxpan,337.00,"2,883.30","41,848.71",2018.0,michoacan
tzintzuntzan,27.00,264.00,"5,177.09",2018.0,michoacan
uruapan,"15,800.00","176,542.00","3,850,029.06",2018.0,michoacan
zinapecuaro,68.00,365.63,"6,851.84",2018.0,michoacan
ziracuaretiro,"4,950.00","50,700.00","1,037,972.78",2018.0,michoacan
zitacuaro,"1,325.00","13,174.01","174,504.15",2018.0,michoacan
cuernavaca,165.00,"1,468.50","13,804.96",2018.0,morelos
huitzilac,19.50,187.20,"2,255.16",2018.0,morelos
ocuituco,"1,971.00","15,893.90","203,007.99",2018.0,morelos
tepoztlan,80.00,756.00,"9,294.12",2018.0,morelos
tetela del volcan,"1,852.00","14,611.71","184,494.79",2018.0,morelos
tlalnepantla,384.00,"3,724.80","45,336.58",2018.0,morelos
tlayacapan,75.00,667.50,"8,548.75",2018.0,morelos
totolapan,158.00,"1,580.00","19,671.74",2018.0,morelos
yautepec,11.20,104.68,"1,278.16",2018.0,morelos
yecapixtla,506.00,"3,885.82","43,198.56",2018.0,morelos
zacualpan,98.00,763.96,"8,901.95",2018.0,morelos
ahuacatlan,9.00,73.80,827.46,2018.0,nayarit
amatlan de canas,6.00,50.70,515.00,2018.0,nayarit
bahia de banderas,2.00,18.00,90.00,2018.0,nayarit
compostela,12.50,77.40,634.69,2018.0,nayarit
ixtlan del rio,13.00,117.65,"1,328.79",2018.0,nayarit
jala,59.00,576.75,"7,622.89",2018.0,nayarit
ruiz,6.00,31.74,382.75,2018.0,nayarit
san blas,800.00,"7,500.08","95,560.54",2018.0,nayarit
san pedro lagunillas,213.00,"1,395.15","11,440.23",2018.0,nayarit
santa maria del oro,56.00,509.60,"6,317.81",2018.0,nayarit
tepic,"2,378.50","21,934.92","318,193.97",2018.0,nayarit
