año,inegi,entidad,municipio,modalidad,tipo,subtipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2011,15011,mexico,atenco,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,15011,mexico,atenco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2011,15011,mexico,atenco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15012,mexico,atizapan,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15012,mexico,atizapan,homicidios,dolosos,con arma de fuego,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,15012,mexico,atizapan,homicidios,dolosos,con arma blanca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15012,mexico,atizapan,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15012,mexico,atizapan,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15013,mexico,atizapan de zaragoza,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15013,mexico,atizapan de zaragoza,homicidios,dolosos,con arma de fuego,0.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0
2011,15013,mexico,atizapan de zaragoza,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,15013,mexico,atizapan de zaragoza,homicidios,dolosos,otros,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2011,15013,mexico,atizapan de zaragoza,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15014,mexico,atlacomulco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15014,mexico,atlacomulco,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15014,mexico,atlacomulco,homicidios,dolosos,con arma blanca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15014,mexico,atlacomulco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15014,mexico,atlacomulco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15015,mexico,atlautla,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15015,mexico,atlautla,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15015,mexico,atlautla,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15015,mexico,atlautla,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,15015,mexico,atlautla,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15016,mexico,axapusco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15016,mexico,axapusco,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2011,15016,mexico,axapusco,homicidios,dolosos,con arma blanca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
2011,15016,mexico,axapusco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2011,15016,mexico,axapusco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15017,mexico,ayapango,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15017,mexico,ayapango,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15017,mexico,ayapango,homicidios,dolosos,con arma blanca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15017,mexico,ayapango,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15017,mexico,ayapango,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15018,mexico,calimaya,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15018,mexico,calimaya,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15018,mexico,calimaya,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15018,mexico,calimaya,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2011,15018,mexico,calimaya,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15019,mexico,capulhuac,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15019,mexico,capulhuac,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,15019,mexico,capulhuac,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15019,mexico,capulhuac,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,15019,mexico,capulhuac,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15020,mexico,coacalco de berriozabal,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15020,mexico,coacalco de berriozabal,homicidios,dolosos,con arma de fuego,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
2011,15020,mexico,coacalco de berriozabal,homicidios,dolosos,con arma blanca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,15020,mexico,coacalco de berriozabal,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
2011,15020,mexico,coacalco de berriozabal,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15021,mexico,coatepec harinas,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15021,mexico,coatepec harinas,homicidios,dolosos,con arma de fuego,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15021,mexico,coatepec harinas,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
