entidad,inegi,año,municipio,tipo,month,count
mexico,15012,2012,atizapan,extorsion,enero,0.0
mexico,15012,2012,atizapan,homicidio,enero,0.0
mexico,15012,2013,atizapan,extorsion,enero,0.0
mexico,15012,2013,atizapan,homicidio,enero,1.0
mexico,15012,2014,atizapan,extorsion,enero,0.0
mexico,15012,2014,atizapan,homicidio,enero,0.0
mexico,15013,2011,atizapan de zaragoza,extorsion,enero,0.0
mexico,15013,2011,atizapan de zaragoza,homicidio,enero,0.0
mexico,15013,2012,atizapan de zaragoza,extorsion,enero,2.0
mexico,15013,2012,atizapan de zaragoza,homicidio,enero,8.0
mexico,15013,2013,atizapan de zaragoza,extorsion,enero,4.0
mexico,15013,2013,atizapan de zaragoza,homicidio,enero,3.0
mexico,15013,2014,atizapan de zaragoza,extorsion,enero,6.0
mexico,15013,2014,atizapan de zaragoza,homicidio,enero,5.0
mexico,15014,2011,atlacomulco,extorsion,enero,0.0
mexico,15014,2011,atlacomulco,homicidio,enero,0.0
mexico,15014,2012,atlacomulco,extorsion,enero,0.0
mexico,15014,2012,atlacomulco,homicidio,enero,1.0
mexico,15014,2013,atlacomulco,extorsion,enero,0.0
mexico,15014,2013,atlacomulco,homicidio,enero,0.0
mexico,15014,2014,atlacomulco,extorsion,enero,0.0
mexico,15014,2014,atlacomulco,homicidio,enero,0.0
mexico,15015,2011,atlautla,extorsion,enero,0.0
mexico,15015,2011,atlautla,homicidio,enero,0.0
mexico,15015,2012,atlautla,extorsion,enero,0.0
mexico,15015,2012,atlautla,homicidio,enero,1.0
mexico,15015,2013,atlautla,extorsion,enero,0.0
mexico,15015,2013,atlautla,homicidio,enero,0.0
mexico,15015,2014,atlautla,extorsion,enero,0.0
mexico,15015,2014,atlautla,homicidio,enero,0.0
mexico,15016,2011,axapusco,extorsion,enero,0.0
mexico,15016,2011,axapusco,homicidio,enero,0.0
mexico,15016,2012,axapusco,extorsion,enero,1.0
mexico,15016,2012,axapusco,homicidio,enero,0.0
mexico,15016,2013,axapusco,extorsion,enero,0.0
mexico,15016,2013,axapusco,homicidio,enero,0.0
mexico,15016,2014,axapusco,extorsion,enero,0.0
mexico,15016,2014,axapusco,homicidio,enero,0.0
mexico,15017,2011,ayapango,extorsion,enero,0.0
mexico,15017,2011,ayapango,homicidio,enero,1.0
mexico,15017,2012,ayapango,extorsion,enero,0.0
mexico,15017,2012,ayapango,homicidio,enero,1.0
mexico,15017,2013,ayapango,extorsion,enero,0.0
mexico,15017,2013,ayapango,homicidio,enero,0.0
mexico,15017,2014,ayapango,extorsion,enero,0.0
mexico,15017,2014,ayapango,homicidio,enero,0.0
mexico,15018,2011,calimaya,extorsion,enero,0.0
mexico,15018,2011,calimaya,homicidio,enero,0.0
mexico,15018,2012,calimaya,extorsion,enero,0.0
mexico,15018,2012,calimaya,homicidio,enero,2.0
mexico,15018,2013,calimaya,extorsion,enero,0.0
mexico,15018,2013,calimaya,homicidio,enero,0.0
mexico,15018,2014,calimaya,extorsion,enero,0.0
mexico,15018,2014,calimaya,homicidio,enero,0.0
mexico,15019,2011,capulhuac,extorsion,enero,0.0
mexico,15019,2011,capulhuac,homicidio,enero,0.0
mexico,15019,2012,capulhuac,extorsion,enero,0.0
mexico,15019,2012,capulhuac,homicidio,enero,0.0
mexico,15019,2013,capulhuac,extorsion,enero,0.0
mexico,15019,2013,capulhuac,homicidio,enero,0.0
mexico,15019,2014,capulhuac,extorsion,enero,0.0
mexico,15019,2014,capulhuac,homicidio,enero,0.0
mexico,15020,2011,coacalco de berriozabal,extorsion,enero,0.0
mexico,15020,2011,coacalco de berriozabal,homicidio,enero,2.0
mexico,15020,2012,coacalco de berriozabal,extorsion,enero,7.0
mexico,15020,2012,coacalco de berriozabal,homicidio,enero,1.0
mexico,15020,2013,coacalco de berriozabal,extorsion,enero,3.0
mexico,15020,2013,coacalco de berriozabal,homicidio,enero,2.0
mexico,15020,2014,coacalco de berriozabal,extorsion,enero,3.0
mexico,15020,2014,coacalco de berriozabal,homicidio,enero,3.0
mexico,15021,2011,coatepec harinas,extorsion,enero,0.0
mexico,15021,2011,coatepec harinas,homicidio,enero,0.0
mexico,15021,2012,coatepec harinas,extorsion,enero,0.0
mexico,15021,2012,coatepec harinas,homicidio,enero,0.0
mexico,15021,2013,coatepec harinas,extorsion,enero,0.0
mexico,15021,2013,coatepec harinas,homicidio,enero,0.0
mexico,15021,2014,coatepec harinas,extorsion,enero,0.0
mexico,15021,2014,coatepec harinas,homicidio,enero,1.0
mexico,15022,2011,cocotitlan,extorsion,enero,0.0
mexico,15022,2011,cocotitlan,homicidio,enero,0.0
mexico,15022,2012,cocotitlan,extorsion,enero,0.0
mexico,15022,2012,cocotitlan,homicidio,enero,1.0
mexico,15022,2013,cocotitlan,extorsion,enero,0.0
mexico,15022,2013,cocotitlan,homicidio,enero,0.0
mexico,15022,2014,cocotitlan,extorsion,enero,1.0
mexico,15022,2014,cocotitlan,homicidio,enero,0.0
mexico,15023,2011,coyotepec,extorsion,enero,0.0
mexico,15023,2011,coyotepec,homicidio,enero,0.0
mexico,15023,2012,coyotepec,extorsion,enero,0.0
mexico,15023,2012,coyotepec,homicidio,enero,3.0
mexico,15023,2013,coyotepec,extorsion,enero,0.0
mexico,15023,2013,coyotepec,homicidio,enero,0.0
mexico,15023,2014,coyotepec,extorsion,enero,0.0
mexico,15023,2014,coyotepec,homicidio,enero,1.0
mexico,15024,2011,cuautitlan,extorsion,enero,0.0
mexico,15024,2011,cuautitlan,homicidio,enero,1.0
mexico,15024,2012,cuautitlan,extorsion,enero,2.0
mexico,15024,2012,cuautitlan,homicidio,enero,1.0
mexico,15024,2013,cuautitlan,extorsion,enero,3.0
mexico,15024,2013,cuautitlan,homicidio,enero,0.0
mexico,15024,2014,cuautitlan,extorsion,enero,2.0
mexico,15024,2014,cuautitlan,homicidio,enero,0.0
mexico,15025,2011,chalco,extorsion,enero,0.0
mexico,15025,2011,chalco,homicidio,enero,4.0
mexico,15025,2012,chalco,extorsion,enero,6.0
mexico,15025,2012,chalco,homicidio,enero,7.0
mexico,15025,2013,chalco,extorsion,enero,2.0
mexico,15025,2013,chalco,homicidio,enero,3.0
mexico,15025,2014,chalco,extorsion,enero,3.0
mexico,15025,2014,chalco,homicidio,enero,5.0
mexico,15026,2011,chapa de mota,extorsion,enero,0.0
mexico,15026,2011,chapa de mota,homicidio,enero,0.0
mexico,15026,2012,chapa de mota,extorsion,enero,1.0
mexico,15026,2012,chapa de mota,homicidio,enero,0.0
mexico,15026,2013,chapa de mota,extorsion,enero,0.0
mexico,15026,2013,chapa de mota,homicidio,enero,0.0
mexico,15026,2014,chapa de mota,extorsion,enero,0.0
mexico,15026,2014,chapa de mota,homicidio,enero,0.0
mexico,15027,2011,chapultepec,extorsion,enero,0.0
mexico,15027,2011,chapultepec,homicidio,enero,0.0
mexico,15027,2012,chapultepec,extorsion,enero,0.0
mexico,15027,2012,chapultepec,homicidio,enero,0.0
mexico,15027,2013,chapultepec,extorsion,enero,0.0
mexico,15027,2013,chapultepec,homicidio,enero,0.0
mexico,15027,2014,chapultepec,extorsion,enero,0.0
mexico,15027,2014,chapultepec,homicidio,enero,0.0
mexico,15028,2011,chiautla,extorsion,enero,0.0
mexico,15028,2011,chiautla,homicidio,enero,0.0
mexico,15028,2012,chiautla,extorsion,enero,0.0
mexico,15028,2012,chiautla,homicidio,enero,0.0
mexico,15028,2013,chiautla,extorsion,enero,0.0
mexico,15028,2013,chiautla,homicidio,enero,0.0
mexico,15028,2014,chiautla,extorsion,enero,0.0
mexico,15028,2014,chiautla,homicidio,enero,0.0
mexico,15029,2011,chicoloapan,extorsion,enero,0.0
mexico,15029,2011,chicoloapan,homicidio,enero,0.0
mexico,15029,2012,chicoloapan,extorsion,enero,1.0
mexico,15029,2012,chicoloapan,homicidio,enero,2.0
mexico,15029,2013,chicoloapan,extorsion,enero,0.0
mexico,15029,2013,chicoloapan,homicidio,enero,1.0
mexico,15029,2014,chicoloapan,extorsion,enero,2.0
mexico,15029,2014,chicoloapan,homicidio,enero,4.0
mexico,15030,2011,chiconcuac,extorsion,enero,0.0
mexico,15030,2011,chiconcuac,homicidio,enero,0.0
mexico,15030,2012,chiconcuac,extorsion,enero,0.0
mexico,15030,2012,chiconcuac,homicidio,enero,0.0
mexico,15030,2013,chiconcuac,extorsion,enero,1.0
mexico,15030,2013,chiconcuac,homicidio,enero,0.0
mexico,15030,2014,chiconcuac,extorsion,enero,0.0
mexico,15030,2014,chiconcuac,homicidio,enero,0.0
mexico,15031,2011,chimalhuacan,extorsion,enero,0.0
mexico,15031,2011,chimalhuacan,homicidio,enero,0.0
mexico,15031,2012,chimalhuacan,extorsion,enero,2.0
mexico,15031,2012,chimalhuacan,homicidio,enero,6.0
mexico,15031,2013,chimalhuacan,extorsion,enero,3.0
mexico,15031,2013,chimalhuacan,homicidio,enero,10.0
mexico,15031,2014,chimalhuacan,extorsion,enero,5.0
mexico,15031,2014,chimalhuacan,homicidio,enero,19.0
mexico,15032,2011,donato guerra,extorsion,enero,0.0
mexico,15032,2011,donato guerra,homicidio,enero,0.0
mexico,15032,2012,donato guerra,extorsion,enero,0.0
mexico,15032,2012,donato guerra,homicidio,enero,1.0
mexico,15032,2013,donato guerra,extorsion,enero,0.0
mexico,15032,2013,donato guerra,homicidio,enero,0.0
mexico,15032,2014,donato guerra,extorsion,enero,0.0
mexico,15032,2014,donato guerra,homicidio,enero,0.0
mexico,15033,2011,ecatepec de morelos,extorsion,enero,0.0
mexico,15033,2011,ecatepec de morelos,homicidio,enero,22.0
mexico,15033,2012,ecatepec de morelos,extorsion,enero,10.0
mexico,15033,2012,ecatepec de morelos,homicidio,enero,40.0
mexico,15033,2013,ecatepec de morelos,extorsion,enero,13.0
mexico,15033,2013,ecatepec de morelos,homicidio,enero,19.0
mexico,15033,2014,ecatepec de morelos,extorsion,enero,18.0
mexico,15033,2014,ecatepec de morelos,homicidio,enero,23.0
mexico,15034,2011,ecatzingo,extorsion,enero,0.0
mexico,15034,2011,ecatzingo,homicidio,enero,0.0
mexico,15034,2012,ecatzingo,extorsion,enero,0.0
mexico,15034,2012,ecatzingo,homicidio,enero,0.0
mexico,15034,2013,ecatzingo,extorsion,enero,1.0
mexico,15034,2013,ecatzingo,homicidio,enero,0.0
mexico,15034,2014,ecatzingo,extorsion,enero,0.0
mexico,15034,2014,ecatzingo,homicidio,enero,0.0
mexico,15035,2011,huehuetoca,extorsion,enero,0.0
mexico,15035,2011,huehuetoca,homicidio,enero,1.0
mexico,15035,2012,huehuetoca,extorsion,enero,0.0
mexico,15035,2012,huehuetoca,homicidio,enero,1.0
mexico,15035,2013,huehuetoca,extorsion,enero,0.0
mexico,15035,2013,huehuetoca,homicidio,enero,0.0
mexico,15035,2014,huehuetoca,extorsion,enero,0.0
mexico,15035,2014,huehuetoca,homicidio,enero,1.0
mexico,15036,2011,hueypoxtla,extorsion,enero,0.0
mexico,15036,2011,hueypoxtla,homicidio,enero,0.0
mexico,15036,2012,hueypoxtla,extorsion,enero,0.0
mexico,15036,2012,hueypoxtla,homicidio,enero,0.0
mexico,15036,2013,hueypoxtla,extorsion,enero,0.0
mexico,15036,2013,hueypoxtla,homicidio,enero,0.0
mexico,15036,2014,hueypoxtla,extorsion,enero,0.0
mexico,15036,2014,hueypoxtla,homicidio,enero,1.0
mexico,15037,2011,huixquilucan,extorsion,enero,0.0
mexico,15037,2011,huixquilucan,homicidio,enero,0.0
mexico,15037,2012,huixquilucan,extorsion,enero,1.0
mexico,15037,2012,huixquilucan,homicidio,enero,1.0
mexico,15037,2013,huixquilucan,extorsion,enero,0.0
mexico,15037,2013,huixquilucan,homicidio,enero,2.0
mexico,15037,2014,huixquilucan,extorsion,enero,1.0
mexico,15037,2014,huixquilucan,homicidio,enero,3.0
mexico,15038,2011,isidro fabela,extorsion,enero,0.0
mexico,15038,2011,isidro fabela,homicidio,enero,0.0
mexico,15038,2012,isidro fabela,extorsion,enero,0.0
mexico,15038,2012,isidro fabela,homicidio,enero,0.0
mexico,15038,2013,isidro fabela,extorsion,enero,0.0
mexico,15038,2013,isidro fabela,homicidio,enero,0.0
mexico,15038,2014,isidro fabela,extorsion,enero,0.0
mexico,15038,2014,isidro fabela,homicidio,enero,0.0
mexico,15039,2011,ixtapaluca,extorsion,enero,0.0
mexico,15039,2011,ixtapaluca,homicidio,enero,3.0
mexico,15039,2012,ixtapaluca,extorsion,enero,4.0
mexico,15039,2012,ixtapaluca,homicidio,enero,4.0
mexico,15039,2013,ixtapaluca,extorsion,enero,1.0
mexico,15039,2013,ixtapaluca,homicidio,enero,3.0
mexico,15039,2014,ixtapaluca,extorsion,enero,2.0
mexico,15039,2014,ixtapaluca,homicidio,enero,2.0
mexico,15040,2011,ixtapan de la sal,extorsion,enero,0.0
mexico,15040,2011,ixtapan de la sal,homicidio,enero,0.0
mexico,15040,2012,ixtapan de la sal,extorsion,enero,0.0
mexico,15040,2012,ixtapan de la sal,homicidio,enero,0.0
mexico,15040,2013,ixtapan de la sal,extorsion,enero,0.0
mexico,15040,2013,ixtapan de la sal,homicidio,enero,0.0
mexico,15040,2014,ixtapan de la sal,extorsion,enero,0.0
mexico,15040,2014,ixtapan de la sal,homicidio,enero,0.0
mexico,15041,2011,ixtapan del oro,extorsion,enero,0.0
mexico,15041,2011,ixtapan del oro,homicidio,enero,0.0
mexico,15041,2012,ixtapan del oro,extorsion,enero,0.0
mexico,15041,2012,ixtapan del oro,homicidio,enero,0.0
mexico,15041,2013,ixtapan del oro,extorsion,enero,0.0
mexico,15041,2013,ixtapan del oro,homicidio,enero,0.0
mexico,15041,2014,ixtapan del oro,extorsion,enero,0.0
mexico,15041,2014,ixtapan del oro,homicidio,enero,0.0
mexico,15042,2011,ixtlahuaca,extorsion,enero,0.0
mexico,15042,2011,ixtlahuaca,homicidio,enero,0.0
mexico,15042,2012,ixtlahuaca,extorsion,enero,0.0
mexico,15042,2012,ixtlahuaca,homicidio,enero,2.0
mexico,15042,2013,ixtlahuaca,extorsion,enero,0.0
mexico,15042,2013,ixtlahuaca,homicidio,enero,0.0
mexico,15042,2014,ixtlahuaca,extorsion,enero,0.0
mexico,15042,2014,ixtlahuaca,homicidio,enero,2.0
mexico,15043,2011,xalatlaco,extorsion,enero,0.0
mexico,15043,2011,xalatlaco,homicidio,enero,0.0
mexico,15043,2012,xalatlaco,extorsion,enero,0.0
mexico,15043,2012,xalatlaco,homicidio,enero,1.0
mexico,15043,2013,xalatlaco,extorsion,enero,0.0
mexico,15043,2013,xalatlaco,homicidio,enero,0.0
mexico,15043,2014,xalatlaco,extorsion,enero,0.0
mexico,15043,2014,xalatlaco,homicidio,enero,0.0
mexico,15044,2011,jaltenco,extorsion,enero,0.0
mexico,15044,2011,jaltenco,homicidio,enero,0.0
mexico,15044,2012,jaltenco,extorsion,enero,0.0
mexico,15044,2012,jaltenco,homicidio,enero,0.0
mexico,15044,2013,jaltenco,extorsion,enero,0.0
mexico,15044,2013,jaltenco,homicidio,enero,0.0
mexico,15044,2014,jaltenco,extorsion,enero,0.0
mexico,15044,2014,jaltenco,homicidio,enero,1.0
mexico,15045,2011,jilotepec,extorsion,enero,0.0
mexico,15045,2011,jilotepec,homicidio,enero,0.0
mexico,15045,2012,jilotepec,extorsion,enero,0.0
mexico,15045,2012,jilotepec,homicidio,enero,3.0
mexico,15045,2013,jilotepec,extorsion,enero,1.0
mexico,15045,2013,jilotepec,homicidio,enero,2.0
mexico,15045,2014,jilotepec,extorsion,enero,2.0
mexico,15045,2014,jilotepec,homicidio,enero,1.0
mexico,15046,2011,jilotzingo,extorsion,enero,0.0
mexico,15046,2011,jilotzingo,homicidio,enero,1.0
mexico,15046,2012,jilotzingo,extorsion,enero,0.0
mexico,15046,2012,jilotzingo,homicidio,enero,0.0
mexico,15046,2013,jilotzingo,extorsion,enero,0.0
mexico,15046,2013,jilotzingo,homicidio,enero,0.0
mexico,15046,2014,jilotzingo,extorsion,enero,1.0
mexico,15046,2014,jilotzingo,homicidio,enero,2.0
mexico,15047,2011,jiquipilco,extorsion,enero,0.0
mexico,15047,2011,jiquipilco,homicidio,enero,0.0
mexico,15047,2012,jiquipilco,extorsion,enero,0.0
mexico,15047,2012,jiquipilco,homicidio,enero,0.0
mexico,15047,2013,jiquipilco,extorsion,enero,0.0
mexico,15047,2013,jiquipilco,homicidio,enero,1.0
mexico,15047,2014,jiquipilco,extorsion,enero,0.0
mexico,15047,2014,jiquipilco,homicidio,enero,0.0
mexico,15048,2011,jocotitlan,extorsion,enero,0.0
mexico,15048,2011,jocotitlan,homicidio,enero,0.0
mexico,15048,2012,jocotitlan,extorsion,enero,0.0
mexico,15048,2012,jocotitlan,homicidio,enero,0.0
mexico,15048,2013,jocotitlan,extorsion,enero,0.0
mexico,15048,2013,jocotitlan,homicidio,enero,0.0
mexico,15048,2014,jocotitlan,extorsion,enero,0.0
mexico,15048,2014,jocotitlan,homicidio,enero,0.0
mexico,15049,2011,joquicingo,extorsion,enero,0.0
mexico,15049,2011,joquicingo,homicidio,enero,0.0
mexico,15049,2012,joquicingo,extorsion,enero,0.0
mexico,15049,2012,joquicingo,homicidio,enero,0.0
mexico,15049,2013,joquicingo,extorsion,enero,0.0
