entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14098,2013,tlaquepaque,extorsion,2.0,4.0,5.0,1.0,7.0,3.0,5.0,6.0,3.0,2.0,12.0,7.0
jalisco,14098,2013,tlaquepaque,homicidio,6.0,12.0,9.0,9.0,10.0,11.0,16.0,4.0,3.0,8.0,9.0,7.0
jalisco,14098,2014,tlaquepaque,extorsion,9.0,3.0,16.0,11.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,1.0
jalisco,14098,2014,tlaquepaque,homicidio,8.0,5.0,14.0,8.0,13.0,16.0,7.0,11.0,5.0,10.0,10.0,8.0
jalisco,14101,2011,tonala,extorsion,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0
jalisco,14101,2011,tonala,homicidio,4.0,6.0,8.0,8.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0
jalisco,14101,2012,tonala,extorsion,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0
jalisco,14101,2012,tonala,homicidio,5.0,7.0,4.0,4.0,10.0,8.0,6.0,6.0,6.0,7.0,9.0,6.0
jalisco,14101,2013,tonala,extorsion,3.0,4.0,3.0,0.0,4.0,5.0,3.0,5.0,3.0,6.0,5.0,5.0
jalisco,14101,2013,tonala,homicidio,7.0,8.0,6.0,4.0,6.0,3.0,5.0,4.0,8.0,8.0,4.0,7.0
jalisco,14101,2014,tonala,extorsion,6.0,7.0,6.0,9.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0
jalisco,14101,2014,tonala,homicidio,7.0,7.0,3.0,5.0,5.0,5.0,5.0,6.0,11.0,5.0,2.0,3.0
jalisco,14120,2011,zapopan,extorsion,12.0,14.0,7.0,4.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0,8.0
jalisco,14120,2011,zapopan,homicidio,20.0,23.0,20.0,16.0,13.0,25.0,26.0,26.0,16.0,15.0,18.0,32.0
jalisco,14120,2012,zapopan,extorsion,5.0,6.0,3.0,3.0,5.0,5.0,13.0,12.0,8.0,7.0,3.0,6.0
jalisco,14120,2012,zapopan,homicidio,18.0,13.0,14.0,23.0,16.0,13.0,21.0,13.0,19.0,20.0,22.0,10.0
jalisco,14120,2013,zapopan,extorsion,6.0,12.0,9.0,4.0,13.0,12.0,10.0,9.0,14.0,15.0,16.0,20.0
jalisco,14120,2013,zapopan,homicidio,17.0,25.0,35.0,25.0,16.0,21.0,15.0,12.0,12.0,19.0,13.0,7.0
jalisco,14120,2014,zapopan,extorsion,16.0,22.0,27.0,15.0,11.0,10.0,4.0,6.0,4.0,5.0,3.0,3.0
jalisco,14120,2014,zapopan,homicidio,14.0,16.0,19.0,13.0,10.0,11.0,14.0,10.0,6.0,7.0,10.0,14.0
mexico,15001,2011,acambay,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2011,acambay,homicidio,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
