entidad,inegi,año,municipio,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14120,2017,zapopan,32.0,24.0,21.0,22.0,24.0,25.0,18.0,31.0,20.0,30.0,15.0,26.0
jalisco,14120,2018,zapopan,26.0,23.0,27.0,41.0,29.0,29.0,25.0,35.0,18.0,21.0,43.0,36.0
jalisco,14120,2019,zapopan,44.0,33.0,34.0,26.0,37.0,34.0,35.0,26.0,19.0,20.0,20.0,21.0
mexico,15001,2011,acambay,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2012,acambay,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
mexico,15001,2013,acambay,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2014,acambay,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2015,acambay,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
mexico,15001,2016,acambay,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
mexico,15001,2017,acambay,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
mexico,15001,2018,acambay,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
mexico,15001,2019,acambay,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
mexico,15002,2011,acolman,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0
mexico,15002,2012,acolman,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0
mexico,15002,2013,acolman,1.0,5.0,0.0,3.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0
mexico,15002,2014,acolman,3.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,8.0,3.0,2.0,2.0
mexico,15002,2015,acolman,0.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0
mexico,15002,2016,acolman,3.0,1.0,1.0,3.0,4.0,2.0,1.0,6.0,3.0,2.0,5.0,3.0
mexico,15002,2017,acolman,1.0,1.0,5.0,2.0,5.0,3.0,2.0,2.0,0.0,4.0,3.0,3.0
mexico,15002,2018,acolman,2.0,3.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,6.0,4.0,1.0
mexico,15002,2019,acolman,3.0,7.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0
mexico,15003,2011,aculco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mexico,15003,2012,aculco,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2013,aculco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
mexico,15003,2014,aculco,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2015,aculco,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mexico,15003,2016,aculco,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mexico,15003,2017,aculco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mexico,15003,2018,aculco,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
mexico,15003,2019,aculco,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
mexico,15004,2011,almoloya de alquisiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2012,almoloya de alquisiras,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2013,almoloya de alquisiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15004,2014,almoloya de alquisiras,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2015,almoloya de alquisiras,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2016,almoloya de alquisiras,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2017,almoloya de alquisiras,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15004,2018,almoloya de alquisiras,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
mexico,15004,2019,almoloya de alquisiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mexico,15005,2011,almoloya de juarez,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
mexico,15005,2012,almoloya de juarez,0.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0
mexico,15005,2013,almoloya de juarez,1.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
mexico,15005,2014,almoloya de juarez,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
mexico,15005,2015,almoloya de juarez,3.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0
mexico,15005,2016,almoloya de juarez,0.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0
mexico,15005,2017,almoloya de juarez,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0
mexico,15005,2018,almoloya de juarez,3.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0
mexico,15005,2019,almoloya de juarez,3.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0
mexico,15006,2011,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2012,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2013,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2014,almoloya del rio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
mexico,15006,2015,almoloya del rio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2016,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mexico,15006,2017,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2018,almoloya del rio,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2019,almoloya del rio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mexico,15007,2011,amanalco,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15007,2012,amanalco,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15007,2013,amanalco,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mexico,15007,2014,amanalco,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
mexico,15007,2015,amanalco,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
mexico,15007,2016,amanalco,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15007,2017,amanalco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15007,2018,amanalco,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
mexico,15007,2019,amanalco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mexico,15008,2011,amatepec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mexico,15008,2012,amatepec,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15008,2013,amatepec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mexico,15008,2014,amatepec,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
mexico,15008,2015,amatepec,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15008,2016,amatepec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mexico,15008,2017,amatepec,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15008,2018,amatepec,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
mexico,15008,2019,amatepec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
