entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
mexico,15075,2016,san martin de las piramides,octubre,1.0,70,29182,9.85,3.4267699266671237
mexico,15075,2017,san martin de las piramides,octubre,2.0,82,29182,9.85,6.853539853334247
mexico,15075,2018,san martin de las piramides,octubre,0.0,94,29182,9.85,0.0
mexico,15075,2019,san martin de las piramides,octubre,1.0,106,29182,9.85,3.4267699266671237
mexico,15076,2011,san mateo atenco,octubre,1.0,10,97418,10.42,1.0265043421133673
mexico,15076,2012,san mateo atenco,octubre,0.0,22,97418,10.42,0.0
mexico,15076,2013,san mateo atenco,octubre,1.0,34,97418,10.42,1.0265043421133673
mexico,15076,2014,san mateo atenco,octubre,2.0,46,97418,10.42,2.0530086842267345
mexico,15076,2015,san mateo atenco,octubre,3.0,58,97418,10.42,3.0795130263401016
mexico,15076,2016,san mateo atenco,octubre,1.0,70,97418,10.42,1.0265043421133673
mexico,15076,2017,san mateo atenco,octubre,0.0,82,97418,10.42,0.0
mexico,15076,2018,san mateo atenco,octubre,1.0,94,97418,10.42,1.0265043421133673
mexico,15076,2019,san mateo atenco,octubre,2.0,106,97418,10.42,2.0530086842267345
mexico,15077,2011,san simon de guerrero,octubre,0.0,10,6692,8.68,0.0
mexico,15077,2012,san simon de guerrero,octubre,0.0,22,6692,8.68,0.0
mexico,15077,2013,san simon de guerrero,octubre,0.0,34,6692,8.68,0.0
mexico,15077,2014,san simon de guerrero,octubre,0.0,46,6692,8.68,0.0
mexico,15077,2015,san simon de guerrero,octubre,0.0,58,6692,8.68,0.0
mexico,15077,2016,san simon de guerrero,octubre,0.0,70,6692,8.68,0.0
mexico,15077,2017,san simon de guerrero,octubre,0.0,82,6692,8.68,0.0
mexico,15077,2018,san simon de guerrero,octubre,0.0,94,6692,8.68,0.0
mexico,15077,2019,san simon de guerrero,octubre,0.0,106,6692,8.68,0.0
mexico,15078,2011,santo tomas,octubre,0.0,10,9729,8.04,0.0
mexico,15078,2012,santo tomas,octubre,0.0,22,9729,8.04,0.0
mexico,15078,2013,santo tomas,octubre,0.0,34,9729,8.04,0.0
mexico,15078,2014,santo tomas,octubre,0.0,46,9729,8.04,0.0
mexico,15078,2015,santo tomas,octubre,0.0,58,9729,8.04,0.0
mexico,15078,2016,santo tomas,octubre,1.0,70,9729,8.04,10.278548668927948
mexico,15078,2017,santo tomas,octubre,0.0,82,9729,8.04,0.0
mexico,15078,2018,santo tomas,octubre,0.0,94,9729,8.04,0.0
mexico,15078,2019,santo tomas,octubre,0.0,106,9729,8.04,0.0
mexico,15079,2011,soyaniquilpan de juarez,octubre,1.0,10,14323,9.07,6.981777560566921
mexico,15079,2012,soyaniquilpan de juarez,octubre,0.0,22,14323,9.07,0.0
mexico,15079,2013,soyaniquilpan de juarez,octubre,0.0,34,14323,9.07,0.0
mexico,15079,2014,soyaniquilpan de juarez,octubre,0.0,46,14323,9.07,0.0
mexico,15079,2015,soyaniquilpan de juarez,octubre,0.0,58,14323,9.07,0.0
mexico,15079,2016,soyaniquilpan de juarez,octubre,0.0,70,14323,9.07,0.0
mexico,15079,2017,soyaniquilpan de juarez,octubre,0.0,82,14323,9.07,0.0
mexico,15079,2018,soyaniquilpan de juarez,octubre,0.0,94,14323,9.07,0.0
mexico,15079,2019,soyaniquilpan de juarez,octubre,0.0,106,14323,9.07,0.0
mexico,15080,2011,sultepec,octubre,0.0,10,24145,7.13,0.0
mexico,15080,2012,sultepec,octubre,0.0,22,24145,7.13,0.0
