entidad,inegi,año,municipio,month,homicides,xmonth
mexico,15071,2013,polotitlan,enero,0.0,25
mexico,15071,2014,polotitlan,enero,0.0,37
mexico,15072,2011,rayon,enero,0.0,1
mexico,15072,2012,rayon,enero,0.0,13
mexico,15072,2013,rayon,enero,0.0,25
mexico,15072,2014,rayon,enero,0.0,37
mexico,15073,2011,san antonio la isla,enero,0.0,1
mexico,15073,2012,san antonio la isla,enero,1.0,13
mexico,15073,2013,san antonio la isla,enero,1.0,25
mexico,15073,2014,san antonio la isla,enero,0.0,37
mexico,15074,2011,san felipe del progreso,enero,0.0,1
mexico,15074,2012,san felipe del progreso,enero,0.0,13
mexico,15074,2013,san felipe del progreso,enero,0.0,25
mexico,15074,2014,san felipe del progreso,enero,1.0,37
mexico,15075,2011,san martin de las piramides,enero,1.0,1
mexico,15075,2012,san martin de las piramides,enero,1.0,13
mexico,15075,2013,san martin de las piramides,enero,0.0,25
mexico,15075,2014,san martin de las piramides,enero,0.0,37
mexico,15076,2011,san mateo atenco,enero,0.0,1
mexico,15076,2012,san mateo atenco,enero,1.0,13
mexico,15076,2013,san mateo atenco,enero,0.0,25
mexico,15076,2014,san mateo atenco,enero,0.0,37
mexico,15077,2011,san simon de guerrero,enero,0.0,1
mexico,15077,2012,san simon de guerrero,enero,0.0,13
mexico,15077,2013,san simon de guerrero,enero,0.0,25
mexico,15077,2014,san simon de guerrero,enero,0.0,37
mexico,15078,2011,santo tomas,enero,0.0,1
mexico,15078,2012,santo tomas,enero,0.0,13
mexico,15078,2013,santo tomas,enero,0.0,25
mexico,15078,2014,santo tomas,enero,0.0,37
mexico,15079,2011,soyaniquilpan de juarez,enero,0.0,1
mexico,15079,2012,soyaniquilpan de juarez,enero,1.0,13
mexico,15079,2013,soyaniquilpan de juarez,enero,0.0,25
mexico,15079,2014,soyaniquilpan de juarez,enero,0.0,37
mexico,15080,2011,sultepec,enero,0.0,1
mexico,15080,2012,sultepec,enero,0.0,13
mexico,15080,2013,sultepec,enero,0.0,25
mexico,15080,2014,sultepec,enero,0.0,37
mexico,15081,2011,tecamac,enero,6.0,1
mexico,15081,2012,tecamac,enero,2.0,13
mexico,15081,2013,tecamac,enero,5.0,25
mexico,15081,2014,tecamac,enero,2.0,37
mexico,15082,2011,tejupilco,enero,1.0,1
mexico,15082,2012,tejupilco,enero,3.0,13
mexico,15082,2013,tejupilco,enero,2.0,25
mexico,15082,2014,tejupilco,enero,0.0,37
mexico,15083,2011,temamatla,enero,0.0,1
mexico,15083,2012,temamatla,enero,0.0,13
mexico,15083,2013,temamatla,enero,0.0,25
mexico,15083,2014,temamatla,enero,0.0,37
mexico,15084,2011,temascalapa,enero,0.0,1
mexico,15084,2012,temascalapa,enero,1.0,13
mexico,15084,2013,temascalapa,enero,0.0,25
mexico,15084,2014,temascalapa,enero,0.0,37
mexico,15085,2011,temascalcingo,enero,0.0,1
mexico,15085,2012,temascalcingo,enero,1.0,13
mexico,15085,2013,temascalcingo,enero,0.0,25
mexico,15085,2014,temascalcingo,enero,1.0,37
mexico,15086,2011,temascaltepec,enero,0.0,1
mexico,15086,2012,temascaltepec,enero,1.0,13
mexico,15086,2013,temascaltepec,enero,2.0,25
mexico,15086,2014,temascaltepec,enero,0.0,37
mexico,15087,2011,temoaya,enero,0.0,1
mexico,15087,2012,temoaya,enero,2.0,13
mexico,15087,2013,temoaya,enero,0.0,25
mexico,15087,2014,temoaya,enero,0.0,37
mexico,15088,2011,tenancingo,enero,0.0,1
mexico,15088,2012,tenancingo,enero,0.0,13
mexico,15088,2013,tenancingo,enero,1.0,25
mexico,15088,2014,tenancingo,enero,0.0,37
mexico,15089,2011,tenango del aire,enero,1.0,1
mexico,15089,2012,tenango del aire,enero,0.0,13
mexico,15089,2013,tenango del aire,enero,0.0,25
mexico,15089,2014,tenango del aire,enero,0.0,37
mexico,15090,2011,tenango del valle,enero,0.0,1
mexico,15090,2012,tenango del valle,enero,0.0,13
mexico,15090,2013,tenango del valle,enero,0.0,25
mexico,15090,2014,tenango del valle,enero,0.0,37
mexico,15091,2011,teoloyucan,enero,0.0,1
mexico,15091,2012,teoloyucan,enero,0.0,13
mexico,15091,2013,teoloyucan,enero,0.0,25
mexico,15091,2014,teoloyucan,enero,1.0,37
mexico,15092,2011,teotihuacan,enero,0.0,1
mexico,15092,2012,teotihuacan,enero,0.0,13
mexico,15092,2013,teotihuacan,enero,0.0,25
mexico,15092,2014,teotihuacan,enero,1.0,37
mexico,15093,2011,tepetlaoxtoc,enero,0.0,1
mexico,15093,2012,tepetlaoxtoc,enero,0.0,13
mexico,15093,2013,tepetlaoxtoc,enero,1.0,25
mexico,15093,2014,tepetlaoxtoc,enero,0.0,37
mexico,15094,2011,tepetlixpa,enero,0.0,1
mexico,15094,2012,tepetlixpa,enero,0.0,13
mexico,15094,2013,tepetlixpa,enero,0.0,25
mexico,15094,2014,tepetlixpa,enero,0.0,37
mexico,15095,2011,tepotzotlan,enero,2.0,1
mexico,15095,2012,tepotzotlan,enero,1.0,13
mexico,15095,2013,tepotzotlan,enero,0.0,25
mexico,15095,2014,tepotzotlan,enero,2.0,37
mexico,15096,2011,tequixquiac,enero,0.0,1
mexico,15096,2012,tequixquiac,enero,0.0,13
mexico,15096,2013,tequixquiac,enero,0.0,25
mexico,15096,2014,tequixquiac,enero,0.0,37
mexico,15097,2011,texcaltitlan,enero,0.0,1
mexico,15097,2012,texcaltitlan,enero,0.0,13
mexico,15097,2013,texcaltitlan,enero,0.0,25
mexico,15097,2014,texcaltitlan,enero,0.0,37
mexico,15098,2011,texcalyacac,enero,0.0,1
mexico,15098,2012,texcalyacac,enero,0.0,13
mexico,15098,2013,texcalyacac,enero,0.0,25
mexico,15098,2014,texcalyacac,enero,0.0,37
mexico,15099,2011,texcoco,enero,1.0,1
mexico,15099,2012,texcoco,enero,3.0,13
mexico,15099,2013,texcoco,enero,3.0,25
mexico,15099,2014,texcoco,enero,3.0,37
mexico,15100,2011,tezoyuca,enero,0.0,1
mexico,15100,2012,tezoyuca,enero,0.0,13
mexico,15100,2013,tezoyuca,enero,0.0,25
mexico,15100,2014,tezoyuca,enero,1.0,37
mexico,15101,2011,tianguistenco,enero,1.0,1
mexico,15101,2012,tianguistenco,enero,0.0,13
mexico,15101,2013,tianguistenco,enero,0.0,25
mexico,15101,2014,tianguistenco,enero,0.0,37
mexico,15102,2011,timilpan,enero,0.0,1
mexico,15102,2012,timilpan,enero,0.0,13
mexico,15102,2013,timilpan,enero,2.0,25
mexico,15102,2014,timilpan,enero,0.0,37
mexico,15103,2011,tlalmanalco,enero,0.0,1
mexico,15103,2012,tlalmanalco,enero,0.0,13
mexico,15103,2013,tlalmanalco,enero,1.0,25
mexico,15103,2014,tlalmanalco,enero,0.0,37
mexico,15104,2011,tlalnepantla de baz,enero,3.0,1
mexico,15104,2012,tlalnepantla de baz,enero,8.0,13
mexico,15104,2013,tlalnepantla de baz,enero,8.0,25
mexico,15104,2014,tlalnepantla de baz,enero,13.0,37
mexico,15105,2011,tlatlaya,enero,0.0,1
mexico,15105,2012,tlatlaya,enero,0.0,13
mexico,15105,2013,tlatlaya,enero,0.0,25
mexico,15105,2014,tlatlaya,enero,0.0,37
mexico,15106,2011,toluca,enero,8.0,1
mexico,15106,2012,toluca,enero,7.0,13
mexico,15106,2013,toluca,enero,15.0,25
mexico,15106,2014,toluca,enero,4.0,37
mexico,15107,2011,tonatico,enero,0.0,1
mexico,15107,2012,tonatico,enero,0.0,13
mexico,15107,2013,tonatico,enero,0.0,25
mexico,15107,2014,tonatico,enero,1.0,37
mexico,15108,2011,tultepec,enero,0.0,1
mexico,15108,2012,tultepec,enero,0.0,13
mexico,15108,2013,tultepec,enero,1.0,25
mexico,15108,2014,tultepec,enero,1.0,37
